performance_id	score	sm0-25	sm25-30	sm30-35	sm35-40	sm40-45	sm45-50	sm50-55	sm55-60	sm60-999	sf0-25	sf25-30	sf30-35	sf35-40	sf40-45	sf45-50	sf50-55	sf55-60	sf60-999	cm0-25	cm25-30	cm30-35	cm35-40	cm40-45	cm45-50	cm50-55	cm55-60	cm60-999	cf0-25	cf25-30	cf30-35	cf35-40	cf40-45	cf45-50	cf50-55	cf55-60	cf60-999	xm0-999	xf0-999
6	5	3300	3200	3100	3000	2900	2800	2700	2600	2500	3100	3000	2900	2800	2700	2600	2500	2400	2300	3200	3100	3000	2900	2800	2700	2600	2500	2400	2900	2800	2700	2600	2500	2400	2300	2200	2100	3200	2900
6	4.75	3250	3150	3050	2950	2850	2750	2650	2550	2450	3050	2950	2850	2750	2650	2550	2450	2350	2250	3150	3050	2950	2850	2750	2650	2550	2450	2350	2850	2750	2650	2550	2450	2350	2250	2150	2050	3150	2850
6	4.5	3200	3100	3000	2900	2800	2700	2600	2500	2400	3000	2900	2800	2700	2600	2500	2400	2300	2200	3100	3000	2900	2800	2700	2600	2500	2400	2300	2800	2700	2600	2500	2400	2300	2200	2100	2000	3100	2800
5	4.25	3150	3050	2950	2850	2750	2650	2550	2450	2350	2950	2850	2750	2650	2550	2450	2350	2250	2150	3050	2950	2850	2750	2650	2550	2450	2350	2250	2750	2650	2550	2450	2350	2250	2150	2050	1950	3050	2750
5	4	3100	3000	2900	2800	2700	2600	2500	2400	2300	2900	2800	2700	2600	2500	2400	2300	2200	2100	3000	2900	2800	2700	2600	2500	2400	2300	2200	2700	2600	2500	2400	2300	2200	2100	2000	1900	3000	2700
5	3.75	3050	2950	2850	2750	2650	2550	2450	2350	2250	2850	2750	2650	2550	2450	2350	2250	2150	2050	2950	2850	2750	2650	2550	2450	2350	2250	2150	2650	2550	2450	2350	2250	2150	2050	1950	1850	2950	2650
5	3.5	3000	2900	2800	2700	2600	2500	2400	2300	2200	2800	2700	2600	2500	2400	2300	2200	2100	2000	2900	2800	2700	2600	2500	2400	2300	2200	2100	2600	2500	2400	2300	2200	2100	2000	1900	1800	2900	2600
4	3.25	2950	2850	2750	2650	2550	2450	2350	2250	2150	2750	2650	2550	2450	2350	2250	2150	2050	1950	2850	2750	2650	2550	2450	2350	2250	2150	2050	2550	2450	2350	2250	2150	2050	1950	1850	1750	2850	2550
4	3	2900	2800	2700	2600	2500	2400	2300	2200	2100	2700	2600	2500	2400	2300	2200	2100	2000	1900	2800	2700	2600	2500	2400	2300	2200	2100	2000	2500	2400	2300	2200	2100	2000	1900	1800	1700	2800	2500
4	2.75	2850	2750	2650	2550	2450	2350	2250	2150	2050	2650	2550	2450	2350	2250	2150	2050	1950	1850	2750	2650	2550	2450	2350	2250	2150	2050	1950	2450	2350	2250	2150	2050	1950	1850	1750	1650	2750	2450
4	2.5	2800	2700	2600	2500	2400	2300	2200	2100	2000	2600	2500	2400	2300	2200	2100	2000	1900	1800	2700	2600	2500	2400	2300	2200	2100	2000	1900	2400	2300	2200	2100	2000	1900	1800	1700	1600	2700	2400
3	2.25	2750	2650	2550	2450	2350	2250	2150	2050	1950	2550	2450	2350	2250	2150	2050	1950	1850	1750	2650	2550	2450	2350	2250	2150	2050	1950	1850	2350	2250	2150	2050	1950	1850	1750	1650	1550	2650	2350
3	2	2700	2600	2500	2400	2300	2200	2100	2000	1900	2500	2400	2300	2200	2100	2000	1900	1800	1700	2600	2500	2400	2300	2200	2100	2000	1900	1800	2300	2200	2100	2000	1900	1800	1700	1600	1500	2600	2300
3	1.75	2650	2550	2450	2350	2250	2150	2050	1950	1880	2450	2350	2250	2150	2050	1950	1850	1750	1650	2550	2450	2350	2250	2150	2050	1950	1850	1750	2250	2150	2050	1950	1850	1750	1650	1550	1450	2550	2250
3	1.5	2600	2500	2400	2300	2200	2100	2000	1900	1860	2400	2300	2200	2100	2000	1900	1800	1700	1600	2500	2400	2300	2200	2100	2000	1900	1800	1700	2200	2100	2000	1900	1800	1700	1600	1500	1400	2500	2200
2	1.25	2400	2325	2250	2175	2100	2025	1950	1875	1840	2350	2250	2150	2050	1950	1850	1750	1650	1550	2225	2150	2075	2000	1925	1850	1775	1700	1625	1950	1850	1800	1725	1650	1575	1500	1425	1350	2225	1950
2	1	2200	2150	2100	2050	2000	1950	1900	1850	1820	2088	2000	1938	1863	1788	1713	1638	1563	1488	1950	1900	1850	1800	1750	1700	1650	1600	1550	1700	1650	1600	1550	1500	1450	1400	1350	1300	1950	1700
1	0.75	2000	1975	1950	1925	1900	1875	1850	1825	1800	1825	1775	1725	1675	1625	1575	1525	1475	1425	1675	1650	1625	1600	1575	1550	1525	1500	1475	1450	1425	1400	1375	1350	1325	1300	1275	1250	1675	1450
1	0.5	1800	1800	1800	1800	1800	1800	1800	1800	1780	1563	1538	1513	1488	1463	1438	1413	1388	1363	1400	1400	1400	1400	1400	1400	1400	1400	1400	1200	1200	1200	1200	1200	1200	1200	1200	1200	1400	1200
1	0.25	1780	1780	1780	1780	1780	1780	1780	1780	1780	1300	1300	1300	1300	1300	1300	1300	1300	1300	1350	1350	1350	1350	1350	1350	1350	1350	1350	1150	1150	1150	1150	1150	1150	1150	1150	1150	1350	1150
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
