performance_id	score	sm0-25	sm25-30	sm30-35	sm35-40	sm40-45	sm45-50	sm50-55	sm55-60	sm60-999	sf0-25	sf25-30	sf30-35	sf35-40	sf40-45	sf45-50	sf50-55	sf55-60	sf60-999	cm0-25	cm25-30	cm30-35	cm35-40	cm40-45	cm45-50	cm50-55	cm55-60	cm60-999	cf0-25	cf25-30	cf30-35	cf35-40	cf40-45	cf45-50	cf50-55	cf55-60	cf60-999	xm0-999	xf0-999
6	5	48	46	44	42	40	38	36	34	32	36	35	33	32	30	29	27	26	24	40	38	36	34	32	30	28	26	24	32	31	30	29	28	27	26	25	24	40	32
6	4.75	47	45	43	41	39	37	35	33	31	35	34	32	31	29	28	26	25	23	39	37	35	33	31	29	27	25	23	31	30	29	28	27	26	25	24	23	39	31
6	4.5	46	44	42	40	38	36	34	32	30	34	33	31	30	28	27	25	24	22	38	36	34	32	30	28	26	24	22	30	29	28	27	26	25	24	23	22	38	30
5	4.25	45	43	41	39	37	35	33	31	29	33	32	30	29	27	26	24	23	21	37	35	33	31	29	27	25	23	21	29	28	27	26	25	24	23	22	21	37	29
5	4	44	42	40	38	36	34	32	30	28	32	31	29	28	26	25	23	22	20	36	34	32	30	28	26	24	22	20	28	27	26	25	24	23	22	21	20	36	28
5	3.75	43	41	39	37	35	33	31	29	27	31	30	28	27	25	24	22	21	19	35	33	31	29	27	25	23	21	19	27	26	25	24	23	22	21	20	19	35	27
5	3.5	42	40	38	36	34	32	30	28	26	30	29	27	26	24	23	21	20	18	34	32	30	28	26	24	22	20	18	26	25	24	23	22	21	20	19	18	34	26
4	3.25	41	39	37	35	33	31	29	27	25	29	28	26	25	23	22	20	19	17	33	31	29	27	25	23	21	19	17	25	24	23	22	21	20	19	18	17	33	25
4	3	40	38	36	34	32	30	28	26	24	28	27	25	24	22	21	19	18	16	32	30	28	26	24	22	20	18	16	24	23	22	21	20	19	18	17	16	32	24
4	2.75	39	37	35	33	31	29	27	25	23	27	26	24	23	21	20	18	17	15	31	29	27	25	23	21	19	17	15	23	22	21	20	19	18	17	16	15	31	23
4	2.5	38	36	34	32	30	28	26	24	22	26	25	23	22	20	19	17	16	14	30	28	26	24	22	20	18	16	14	22	21	20	19	18	17	16	15	14	30	22
3	2.25	37	35	33	31	29	27	25	23	21	25	24	22	21	19	18	16	15	13	29	27	25	23	21	19	17	15	13	21	20	19	18	17	16	15	14	13	29	21
3	2	36	34	32	30	28	26	24	22	20	24	23	21	20	18	17	15	14	12	28	26	24	22	20	18	16	14	12	20	19	18	17	16	15	14	13	12	28	20
3	1.75	35	33	31	29	27	25	23	21	19	23	22	20	19	17	16	14	13	11	27	25	23	21	19	17	15	13	11	19	18	17	16	15	14	13	12	11	27	19
3	1.5	34	32	30	28	26	24	22	20	18	22	21	19	18	16	15	13	12	10	26	24	22	20	18	16	14	12	10	18	17	16	15	14	13	12	11	10	26	18
2	1.25	29	27	25	23	21	19	17	15	13	19	18	16	15	13	12	10	9	7	23	21	19	17	15	13	11	9	7	15	14	13	12	11	10	9	8	7	23	15
2	1	24	22	20	18	16	14	12	10	8	16	15	13	12	10	9	7	6	4	20	18	16	14	12	10	8	6	4	12	11	10	9	8	7	6	5	4	20	12
1	0.75	19	17	15	13	11	9	7	5	4	13	12	10	9	7	6	4	3	2	17	15	13	11	9	7	5	3	2	9	8	7	6	5	4	3	2	2	17	9
1	0.5	14	12	10	8	6	4	2	1	1	10	9	7	6	4	3	2	1	1	14	12	10	8	6	4	2	1	1	6	5	4	3	2	1	1	1	1	14	6
1	0.25	9	7	5	3	1	1	1	1	1	7	6	4	3	2	1	1	1	1	11	9	7	5	3	1	1	1	1	3	2	1	1	1	1	1	1	1	11	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
