performance_id	score	sm0-25	sm25-30	sm30-35	sm35-40	sm40-45	sm45-50	sm50-55	sm55-60	sm60-999	sf0-25	sf25-30	sf30-35	sf35-40	sf40-45	sf45-50	sf50-55	sf55-60	sf60-999	cm0-25	cm25-30	cm30-35	cm35-40	cm40-45	cm45-50	cm50-55	cm55-60	cm60-999	cf0-25	cf25-30	cf30-35	cf35-40	cf40-45	cf45-50	cf50-55	cf55-60	cf60-999	xm0-999	xf0-999
6	5	53	50	47	44	41	38	35	32	29	46	44	42	40	38	36	34	32	30	46	44	42	40	38	36	34	32	29	40	38	36	34	32	30	28	26	24	46	40
6	4.75	52	49	46	43	40	37	34	31	28	45	43	41	39	37	35	33	31	29	45	43	41	39	37	35	33	31	28	39	37	35	33	31	29	27	25	23	45	39
6	4.5	51	48	45	42	39	36	33	30	27	44	42	40	38	36	34	32	30	28	44	42	40	38	36	34	32	30	27	38	36	34	32	30	28	26	24	22	44	38
5	4.25	50	47	44	41	38	35	32	29	26	43	41	39	37	35	33	31	29	27	43	41	39	37	35	33	31	29	26	37	35	33	31	29	27	25	23	21	43	37
5	4	49	46	43	40	37	34	31	28	25	42	40	38	36	34	32	30	28	26	42	40	38	36	34	32	30	28	25	36	34	32	30	28	26	24	22	20	42	36
5	3.75	48	45	42	39	36	33	30	27	24	41	39	37	35	33	31	29	27	25	41	39	37	35	33	31	29	27	24	35	33	31	29	27	25	23	21	19	41	35
5	3.5	47	44	41	38	35	32	29	26	23	40	38	36	34	32	30	28	26	24	40	38	36	34	32	30	28	26	23	34	32	30	28	26	24	22	20	18	40	34
4	3.25	46	43	40	37	34	31	28	25	22	39	37	35	33	31	29	27	25	23	39	37	35	33	31	29	27	25	22	33	31	29	27	25	23	21	19	17	39	33
4	3	45	42	39	36	33	30	27	24	21	38	36	34	32	30	28	26	24	22	38	36	34	32	30	28	26	24	21	32	30	28	26	24	22	20	18	16	38	32
4	2.75	44	41	38	35	32	29	26	23	20	37	35	33	31	29	27	25	23	21	37	35	33	31	29	27	25	23	20	31	29	27	25	23	21	19	17	15	37	31
4	2.5	43	40	37	34	31	28	25	22	19	36	34	32	30	28	26	24	22	20	36	34	32	30	28	26	24	22	19	30	28	26	24	22	20	18	16	14	36	30
3	2.25	42	39	36	33	30	27	24	21	18	35	33	31	29	27	25	23	21	19	35	33	31	29	27	25	23	21	18	29	27	25	23	21	19	17	15	13	35	29
3	2	41	38	35	32	29	26	23	20	17	34	32	30	28	26	24	22	20	18	34	32	30	28	26	24	22	20	17	28	26	24	22	20	18	16	14	12	34	28
3	1.75	40	37	34	31	28	25	22	19	16	33	31	29	27	25	23	21	19	17	33	31	29	27	25	23	21	19	16	27	25	23	21	19	17	15	13	11	33	27
3	1.5	39	36	33	30	27	24	21	18	15	32	30	28	26	24	22	20	18	16	32	30	28	26	24	22	20	18	15	26	24	22	20	18	16	14	12	10	32	26
2	1.25	34	31	28	25	22	19	16	13	10	2	25	23	21	19	17	15	13	11	27	25	23	21	19	17	15	13	10	21	19	18	16	14	13	12	9	7	27	21
2	1	29	26	23	20	17	14	11	8	5	22	20	18	16	14	12	10	8	6	22	20	18	16	14	12	10	8	5	16	15	14	12	11	10	9	6	4	22	16
1	0.75	24	21	18	15	12	9	6	3	1	17	15	13	11	9	7	5	3	1	17	15	13	11	9	7	5	4	3	12	11	10	9	8	7	6	4	2	17	12
1	0.5	19	16	13	10	7	4	1	1	1	12	10	8	6	4	2	1	1	1	12	10	8	6	4	3	2	1	1	8	7	6	6	5	4	3	2	1	12	8
1	0.25	14	11	8	5	2	1	1	1	1	7	5	3	1	1	1	1	1	1	7	5	3	1	1	1	1	1	1	4	3	2	3	2	1	1	1	1	7	4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
