performance_id	score	sm0-25	sm25-30	sm30-35	sm35-40	sm40-45	sm45-50	sm50-55	sm55-60	sm60-999	sf0-25	sf25-30	sf30-35	sf35-40	sf40-45	sf45-50	sf50-55	sf55-60	sf60-999	cm0-25	cm25-30	cm30-35	cm35-40	cm40-45	cm45-50	cm50-55	cm55-60	cm60-999	cf0-25	cf25-30	cf30-35	cf35-40	cf40-45	cf45-50	cf50-55	cf55-60	cf60-999	xm0-999	xf0-999
6	5	2.7	2.6	2.5	2.4	2.3	2.2	2.1	2	1.9	2.2	2.1	2	1.9	1.8	1.7	1.6	1.5	1.4	2.6	2.5	2.4	2.3	2.2	2.1	2	1.9	1.8	2.1	2	1.9	1.8	1.7	1.6	1.5	1.4	1.3	2.6	2.1
6	4.75	2.65	2.55	2.45	2.35	2.25	2.15	2.05	1.95	1.85	2.15	2.05	1.95	1.85	1.75	1.65	1.55	1.45	1.35	2.55	2.45	2.35	2.25	2.15	2.05	1.95	1.85	1.75	2.05	1.95	1.85	1.75	1.65	1.55	1.45	1.35	1.25	2.55	2.05
6	4.5	2.6	2.5	2.4	2.3	2.2	2.1	2	1.9	1.8	2.1	2	1.9	1.8	1.7	1.6	1.5	1.4	1.3	2.5	2.4	2.3	2.2	2.1	2	1.9	1.8	1.7	2	1.9	1.8	1.7	1.6	1.5	1.4	1.3	1.2	2.5	2
5	4.25	2.55	2.45	2.35	2.25	2.15	2.05	1.95	1.85	1.75	2.05	1.95	1.85	1.75	1.65	1.55	1.45	1.35	1.25	2.45	2.35	2.25	2.15	2.05	1.95	1.85	1.75	1.65	1.95	1.85	1.75	1.65	1.55	1.45	1.35	1.25	1.15	2.45	1.95
5	4	2.5	2.4	2.3	2.2	2.1	2	1.9	1.8	1.7	2	1.9	1.8	1.7	1.6	1.5	1.4	1.3	1.2	2.4	2.3	2.2	2.1	2	1.9	1.8	1.7	1.6	1.9	1.8	1.7	1.6	1.5	1.4	1.3	1.2	1.1	2.4	1.9
5	3.75	2.45	2.35	2.25	2.15	2.05	1.95	1.85	1.75	1.65	1.95	1.85	1.75	1.65	1.55	1.45	1.35	1.25	1.15	2.35	2.25	2.15	2.05	1.95	1.85	1.75	1.65	1.55	1.85	1.75	1.65	1.55	1.45	1.35	1.25	1.15	1.05	2.35	1.85
5	3.5	2.4	2.3	2.2	2.1	2	1.9	1.8	1.7	1.6	1.9	1.8	1.7	1.6	1.5	1.4	1.3	1.2	1.1	2.3	2.2	2.1	2	1.9	1.8	1.7	1.6	1.5	1.8	1.7	1.6	1.5	1.4	1.3	1.2	1.1	1	2.3	1.8
4	3.25	2.35	2.25	2.15	2.05	1.95	1.85	1.75	1.65	1.55	1.85	1.75	1.65	1.55	1.45	1.35	1.25	1.15	1.05	2.25	2.15	2.05	1.95	1.85	1.75	1.65	1.55	1.45	1.75	1.65	1.55	1.45	1.35	1.25	1.15	1.05	0.95	2.25	1.75
4	3	2.3	2.2	2.1	2	1.9	1.8	1.7	1.6	1.5	1.8	1.7	1.6	1.5	1.4	1.3	1.2	1.1	1	2.2	2.1	2	1.9	1.8	1.7	1.6	1.5	1.4	1.7	1.6	1.5	1.4	1.3	1.2	1.1	1	0.9	2.2	1.7
4	2.75	2.25	2.15	2.05	1.95	1.85	1.75	1.65	1.55	1.45	1.75	1.65	1.55	1.45	1.35	1.25	1.15	1.05	0.95	2.15	2.05	1.95	1.85	1.75	1.65	1.55	1.45	1.35	1.65	1.55	1.45	1.35	1.25	1.15	1.05	0.95	0.85	2.15	1.65
